,open_date,subject,neighborhood,Days_Open
73307,2022-03-30 12:48:00,Dept of Public Works,MLK Park,340
73412,2022-05-06 08:29:00,Dept of Public Works,Masten Park,303
73433,2022-05-16 16:17:00,Dept of Public Works,Riverside,293
73437,2022-03-31 08:49:00,Dept of Public Works,Hopkins-Tifft,339
73473,2022-06-27 09:42:00,Dept of Law,UNKNOWN,251
73481,2022-03-11 18:00:00,Utilities,Grant-Amherst,359
73498,2022-04-07 11:00:00,Dept of Public Works,Masten Park,332
73520,2022-03-16 15:09:00,Dept of Public Works,Kenfield,354
73545,2022-03-12 11:05:00,Dept of Public Works,Kenfield,358
73570,2022-04-09 22:25:00,Dept of Law,UNKNOWN,330
73580,2022-12-16 11:21:00,Dept of Public Works,Fillmore-Leroy,79
73614,2022-03-15 12:26:00,Dept of Public Works,Parkside,355
73681,2022-08-04 11:28:00,Office of Strategic Planning,North Park,213
73715,2022-05-26 10:44:00,Office of Strategic Planning,Riverside,283
73891,2022-06-12 20:03:00,Dept of Public Works,Pratt-Willert,266
73924,2022-04-25 15:35:00,Dept of Law,UNKNOWN,314
73928,2022-11-23 12:47:00,Dept of Public Works,Kensington-Bailey,102
73943,2022-06-30 08:55:00,Dept of Public Works,West Side,248
73952,2022-07-26 17:38:00,Dept of Law,UNKNOWN,222
73957,2022-08-08 08:42:00,Dept of Public Works,Kensington-Bailey,209
73974,2022-03-16 13:09:00,Dept of Public Works,Masten Park,354
74004,2022-05-11 09:15:00,Dept of Public Works,Seneca-Cazenovia,298
74088,2022-03-16 15:45:00,Dept of Public Works,Fruit Belt,354
74117,2022-05-09 10:35:00,Dept of Public Works,Riverside,300
74118,2022-06-10 11:01:00,Dept of Public Works,Seneca Babcock,268
74162,2022-06-30 14:00:00,Dept of Public Works,MLK Park,248
74291,2022-05-22 17:00:00,DPIS,Broadway Fillmore,287
74322,2022-03-16 09:30:00,Dept of Law,UNKNOWN,354
74343,2022-05-27 10:49:00,Dept of Public Works,Lower West Side,282
74370,2022-05-12 09:00:00,Buffalo Police Department,North Park,297
74395,2022-07-25 14:30:00,Dept of Parking,Central,223
74487,2022-10-17 11:18:00,Dept of Law,UNKNOWN,139
74536,2022-06-15 09:37:00,Dept of Public Works,Central Park,263
74559,2022-06-17 15:10:00,Dept of Public Works,MLK Park,261
74562,2022-11-22 13:35:00,Dept of Public Works,Elmwood Bryant,103
74588,2022-05-20 18:12:00,Dept of Law,UNKNOWN,289
74724,2022-07-01 15:20:00,Dept of Public Works,Elmwood Bidwell,247
74726,2022-08-11 08:53:00,Dept of Public Works,Riverside,206
74781,2022-07-27 10:05:00,Dept of Public Works,South Park,221
74787,2022-07-21 12:19:00,Dept of Public Works,Schiller Park,227
74808,2022-12-18 19:00:00,Dept of Public Works,Central Park,77
74841,2022-03-17 15:21:00,Dept of Public Works,Masten Park,353
74849,2022-12-12 09:42:00,Dept of Public Works,Elmwood Bidwell,83
74860,2022-04-20 12:11:00,Dept of Public Works,Elmwood Bidwell,319
74898,2022-07-31 06:29:00,Dept of Public Works,University Heights,217
74910,2022-04-08 12:17:00,Dept of Public Works,Kenfield,331
74911,2022-07-26 10:13:00,Dept of Law,UNKNOWN,222
74927,2022-07-12 10:01:00,Dept of Public Works,Parkside,236
74984,2022-05-05 15:43:00,Dept of Public Works,Masten Park,304
75043,2022-12-20 11:51:00,Dept of Law,UNKNOWN,75
75044,2022-07-18 16:28:00,Dept of Public Works,Kensington-Bailey,230
75232,2022-03-16 16:21:00,Dept of Public Works,North Park,354
75296,2022-04-08 08:58:00,Dept of Public Works,Elmwood Bidwell,331
75472,2022-07-21 14:52:00,Dept of Public Works,Grant-Amherst,227
75509,2022-05-27 14:23:00,Dept of Public Works,Kensington-Bailey,282
75520,2022-08-09 11:38:00,Dept of Law,UNKNOWN,208
75532,2022-07-25 16:27:00,Dept of Public Works,Seneca Babcock,223
75571,2022-03-13 14:25:00,Dept of Public Works,Parkside,357
75666,2022-04-11 08:23:00,Dept of Public Works,West Side,328
75674,2022-06-09 21:54:00,Dept of Law,UNKNOWN,269
75787,2022-04-08 11:57:00,Dept of Public Works,Parkside,331
75869,2022-05-13 08:03:00,Dept of Public Works,Central,296
75974,2022-04-12 00:40:00,Dept of Public Works,Grant-Amherst,327
76022,2022-05-05 14:45:00,Dept of Public Works,Hopkins-Tifft,304
76035,2022-08-02 14:14:00,Dept of Public Works,First Ward,215
76058,2022-04-12 00:21:00,Dept of Public Works,Pratt-Willert,327
76086,2022-04-12 00:36:00,Dept of Public Works,Grant-Amherst,327
76110,2022-03-15 10:33:00,Dept of Public Works,Seneca-Cazenovia,355
76189,2022-03-15 13:41:00,Dept of Public Works,Schiller Park,355
76221,2022-07-28 09:07:00,Dept of Public Works,Kaisertown,220
76272,2022-03-12 11:07:00,Dept of Public Works,Kenfield,358
76341,2022-04-12 00:26:00,Dept of Public Works,Central,327
76353,2022-07-11 14:16:00,Dept of Public Works,Riverside,237
76386,2022-05-20 12:42:00,Dept of Public Works,Fillmore-Leroy,289
76452,2022-05-02 12:28:00,Dept of Law,UNKNOWN,307
76546,2022-12-16 15:43:00,DPIS,Elmwood Bidwell,79
76557,2022-07-15 09:25:00,Dept of Public Works,Delavan Grider,233
76570,2022-05-06 10:47:00,Dept of Public Works,University Heights,303
76606,2022-04-12 14:23:00,Dept of Public Works,Pratt-Willert,327
76642,2022-12-24 05:50:00,Dept of Law,UNKNOWN,71
76786,2022-07-16 09:48:00,Dept of Public Works,Grant-Amherst,232
76791,2022-06-28 15:53:00,Dept of Public Works,West Side,250
76809,2022-06-27 13:20:00,Dept of Law,UNKNOWN,251
76824,2022-03-15 16:38:00,Dept of Public Works,Delavan Grider,355
76876,2022-03-16 14:33:00,Dept of Public Works,Lovejoy,354
76907,2022-05-06 09:23:00,Dept of Public Works,Grant-Amherst,303
76930,2022-06-07 09:20:00,Dept of Public Works,Central Park,271
76959,2022-07-19 08:39:00,Dept of Public Works,Black Rock,229
76962,2022-12-07 13:49:00,Dept of Public Works,Central,88
76971,2022-06-23 14:58:00,Dept of Public Works,Schiller Park,255
77000,2022-08-19 16:03:00,Dept of Law,UNKNOWN,198
77007,2022-05-06 12:05:00,Dept of Public Works,Central,303
77076,2022-03-17 08:01:00,Dept of Public Works,Parkside,353
77103,2022-07-19 11:58:00,Dept of Public Works,Pratt-Willert,229
77113,2022-04-27 16:29:00,Dept of Law,UNKNOWN,312
77124,2022-05-05 15:00:00,Dept of Public Works,Delavan Grider,304
77156,2022-08-10 10:35:00,Dept of Public Works,South Park,207
77168,2022-11-23 13:33:00,Dept of Public Works,West Side,102
77185,2022-03-12 12:13:00,Dept of Law,UNKNOWN,358
77210,2022-04-06 09:25:00,Dept of Public Works,Hopkins-Tifft,333
77218,2022-05-05 10:15:00,Utilities,Pratt-Willert,304
77260,2022-05-26 14:22:00,Dept of Public Works,North Park,283
77308,2022-08-11 16:44:00,Dept of Law,UNKNOWN,206
77328,2022-03-16 10:23:00,Dept of Parking,Fruit Belt,354
77366,2022-07-26 14:27:00,Dept of Public Works,Black Rock,222
77436,2022-04-29 09:00:00,Dept of Public Works,Masten Park,310
77545,2022-03-25 12:54:00,Dept of Public Works,Hopkins-Tifft,345
77666,2022-06-22 09:22:00,Office of the Mayor,Kensington-Bailey,256
77713,2022-06-14 13:26:00,Dept of Public Works,Hamlin Park,264
77819,2022-07-26 16:12:00,DPIS,Hopkins-Tifft,222
77823,2022-06-28 13:19:00,Dept of Public Works,Hopkins-Tifft,250
77829,2022-01-24 11:05:00,Dept of Public Works,Elmwood Bidwell,405
77849,2022-07-05 09:50:00,Dept of Public Works,Elmwood Bidwell,243
77850,2022-04-28 14:02:00,Dept of Public Works,Grant-Amherst,311
77853,2022-04-13 15:50:00,Dept of Public Works,Masten Park,326
77856,2022-06-17 13:20:00,Dept of Public Works,Elmwood Bidwell,261
77879,2022-08-12 08:50:00,Dept of Public Works,Elmwood Bryant,205
77891,2022-03-11 14:15:00,Utilities,Elmwood Bryant,359
77897,2022-03-14 10:07:00,Dept of Public Works,Central,356
77927,2022-04-26 12:05:00,Dept of Public Works,West Side,313
77982,2022-08-11 11:28:00,Dept of Public Works,Kensington-Bailey,206
78045,2022-07-06 12:33:00,Dept of Public Works,Elmwood Bidwell,242
78071,2022-03-14 19:29:00,Dept of Public Works,Lower West Side,356
78121,2022-07-06 10:22:00,Dept of Law,UNKNOWN,242
78154,2022-05-13 10:21:00,Dept of Public Works,Fillmore-Leroy,296
78185,2022-07-18 10:38:00,Dept of Public Works,Kensington-Bailey,230
78222,2022-03-16 17:15:00,Dept of Public Works,Allentown,354
78246,2022-05-13 15:26:00,Dept of Public Works,First Ward,296
78282,2022-08-22 11:56:00,Dept of Public Works,Allentown,195
78333,2022-04-08 09:26:00,Dept of Parking,Hopkins-Tifft,331
78412,2022-04-12 00:54:00,Dept of Public Works,West Hertel,327
78448,2022-04-22 14:15:00,Dept of Law,UNKNOWN,317
78469,2022-03-16 10:35:00,Dept of Public Works,Elmwood Bryant,354
78473,2022-06-27 12:13:00,Dept of Law,UNKNOWN,251
78501,2022-03-17 13:26:00,Dept of Public Works,Parkside,353
78545,2022-05-04 08:00:00,Utilities,North Park,305
78547,2022-03-14 15:36:00,Dept of Public Works,University Heights,356
78563,2022-06-17 14:19:00,Dept of Public Works,Upper West Side,261
78595,2022-03-15 13:49:00,Dept of Public Works,Hopkins-Tifft,355
78618,2022-06-01 14:12:00,Dept of Public Works,Elmwood Bryant,277
78699,2022-01-18 21:35:00,Dept of Public Works,Central,411
78859,2022-01-11 11:32:00,Dept of Public Works,Broadway Fillmore,418
78883,2022-02-04 15:35:00,Office of Strategic Planning,Fillmore-Leroy,394
78939,2022-01-31 20:35:00,Dept of Law,UNKNOWN,398
78953,2022-02-07 14:22:00,Dept of Public Works,University Heights,391
78988,2022-01-26 13:03:00,Dept of Public Works,Kensington-Bailey,403
79115,2022-01-07 10:21:00,Dept of Law,UNKNOWN,422
79166,2022-02-04 10:35:00,Dept of Public Works,Kensington-Bailey,394
79254,2022-01-20 11:32:00,Dept of Public Works,South Park,409
79392,2022-01-25 18:55:00,Dept of Law,UNKNOWN,404
79399,2022-01-31 20:36:00,Dept of Law,UNKNOWN,398
79638,2022-01-04 16:03:00,Dept of Law,UNKNOWN,425
79640,2022-01-23 16:19:00,Dept of Public Works,Schiller Park,406
79664,2022-01-07 14:50:00,Office of Strategic Planning,Parkside,422
79695,2022-02-02 16:25:00,Dept of Public Works,Allentown,396
79720,2022-01-05 14:14:00,Dept of Public Works,Elmwood Bryant,424
79837,2022-02-09 12:32:00,Dept of Public Works,South Park,389
79843,2022-02-08 10:30:00,Dept of Law,UNKNOWN,390
79862,2022-02-11 12:56:00,Dept of Public Works,North Park,387
80120,2022-02-03 10:39:00,Dept of Public Works,MLK Park,395
80146,2022-01-10 08:45:00,Dept of Public Works,Fillmore-Leroy,419
80176,2022-01-16 21:24:00,Dept of Law,UNKNOWN,413
80179,2022-01-03 13:03:00,Dept of Law,UNKNOWN,426
80184,2022-01-25 10:11:00,Office of Strategic Planning,University Heights,404
80253,2022-02-09 13:41:00,Dept of Public Works,West Side,389
80322,2022-01-13 14:03:00,Dept of Law,UNKNOWN,416
80347,2022-01-06 12:23:00,Dept of Law,UNKNOWN,423
80348,2022-01-06 11:42:00,Dept of Public Works,Hopkins-Tifft,423
80349,2022-01-11 23:11:00,Dept of Public Works,Lovejoy,417
80689,2022-01-14 13:47:00,Dept of Public Works,West Side,415
80734,2022-02-14 14:34:00,Dept of Public Works,Fillmore-Leroy,384
80818,2022-02-04 10:03:00,Dept of Public Works,Delavan Grider,394
80947,2022-01-31 15:37:00,Dept of Public Works,Broadway Fillmore,398
80975,2022-01-06 13:57:00,Dept of Public Works,Central Park,423
80980,2022-01-12 10:28:00,Office of Strategic Planning,Lovejoy,417
80984,2022-01-18 09:57:00,Dept of Public Works,Schiller Park,411
80998,2022-01-24 14:17:00,Dept of Public Works,Allentown,405
81046,2022-01-31 16:48:00,Dept of Law,UNKNOWN,398
81187,2022-02-01 13:47:00,Dept of Public Works,University Heights,397
81216,2022-01-07 13:18:00,Office of Strategic Planning,Fillmore-Leroy,422
81305,2022-01-10 16:42:00,Dept of Public Works,Hopkins-Tifft,419
81513,2022-01-14 11:21:00,Dept of Public Works,Broadway Fillmore,415
81557,2022-01-11 09:39:00,Dept of Public Works,Hopkins-Tifft,418
81744,2022-01-07 13:47:00,Dept of Public Works,West Side,422
81823,2022-02-14 13:24:00,Dept of Public Works,Elmwood Bidwell,384
81867,2022-01-04 14:16:00,Dept of Public Works,Lovejoy,425
81944,2022-01-28 09:36:00,Dept of Public Works,First Ward,401
81975,2022-01-11 11:30:00,Dept of Public Works,Grant-Amherst,418
81982,2022-01-20 14:44:00,Dept of Public Works,West Hertel,409
81987,2022-01-11 23:17:00,Dept of Public Works,Lovejoy,417
82007,2022-01-25 12:04:00,Office of Strategic Planning,Black Rock,404
82071,2022-02-02 11:38:00,Dept of Law,UNKNOWN,396
82113,2022-01-27 19:12:00,Dept of Law,UNKNOWN,402
82126,2022-01-22 12:24:00,Utilities,North Park,407
82151,2022-01-12 13:29:00,Dept of Public Works,Broadway Fillmore,417
82479,2022-01-10 09:44:00,Dept of Public Works,MLK Park,419
82505,2022-01-10 08:39:00,Office of Strategic Planning,Delavan Grider,419
82671,2022-01-21 15:19:00,Dept of Public Works,UNKNOWN,408
82715,2022-01-20 09:00:00,DPIS,Seneca-Cazenovia,409
82741,2022-01-14 15:27:00,Dept of Public Works,Riverside,415
82900,2022-01-04 13:09:00,DPIS,West Side,425
82971,2022-02-01 15:17:00,DPIS,Black Rock,397
82978,2022-02-07 15:51:00,Dept of Public Works,Kaisertown,391
83014,2022-01-31 13:34:00,Dept of Law,UNKNOWN,398
83015,2022-01-11 23:11:00,Dept of Public Works,Lovejoy,417
83126,2022-01-27 08:53:00,Dept of Public Works,Grant-Amherst,402
83144,2022-01-25 09:27:00,Office of Strategic Planning,Central Park,404
83187,2022-01-18 21:34:00,Dept of Public Works,Ellicott,411
83556,2022-01-13 10:14:00,Dept of Public Works,Central,416
83581,2022-01-11 12:47:00,Dept of Public Works,Broadway Fillmore,418
83584,2022-02-04 13:35:00,Office of the Mayor,University Heights,394
83668,2022-02-11 12:10:00,Dept of Public Works,Fruit Belt,387
83671,2022-01-19 11:55:00,Dept of Public Works,Central,410
83693,2022-01-24 15:12:00,Dept of Public Works,Masten Park,405
83709,2022-02-01 08:36:00,Dept of Public Works,Delavan Grider,397
83757,2022-01-31 20:35:00,Dept of Law,UNKNOWN,398
83796,2022-01-19 11:23:00,Dept of Law,UNKNOWN,410
83828,2022-01-24 13:52:00,Dept of Public Works,Schiller Park,405
83837,2022-02-02 16:26:00,Office of Strategic Planning,Masten Park,396
83839,2022-01-28 15:10:00,Dept of Public Works,Hopkins-Tifft,401
84002,2022-01-28 00:49:00,Dept of Law,UNKNOWN,401
84008,2022-01-04 10:04:00,Dept of Public Works,South Park,425
84047,2022-01-13 09:58:00,Dept of Public Works,Genesee-Moselle,416
84106,2022-02-09 13:34:00,Dept of Public Works,First Ward,389
84162,2022-02-02 10:24:00,Dept of Public Works,Broadway Fillmore,396
84358,2022-02-07 11:42:00,Dept of Public Works,Broadway Fillmore,391
84375,2022-01-07 10:29:00,Dept of Public Works,MLK Park,422
84397,2022-02-10 13:33:00,Dept of Public Works,Upper West Side,388
84539,2022-02-14 13:58:00,Dept of Public Works,Seneca Babcock,384
84629,2022-01-27 11:53:00,Dept of Public Works,Fruit Belt,402
84756,2022-01-28 12:38:00,Dept of Parking,Elmwood Bidwell,401
84784,2022-01-11 15:05:00,Dept of Law,UNKNOWN,418
84789,2022-02-11 16:12:00,Utilities,Hopkins-Tifft,387
84799,2022-02-08 11:25:00,Dept of Public Works,Genesee-Moselle,390
84902,2022-01-21 08:45:00,Dept of Law,UNKNOWN,408
85020,2022-01-05 09:02:00,Dept of Public Works,Central Park,424
85034,2022-01-23 18:29:00,Dept of Public Works,North Park,406
85111,2022-01-03 10:24:00,Dept of Public Works,Schiller Park,426
85146,2022-02-10 05:58:00,Dept of Public Works,Elmwood Bryant,388
85151,2022-01-26 11:42:00,Dept of Law,UNKNOWN,403
85172,2022-01-20 14:22:00,Dept of Public Works,Parkside,409
85354,2022-01-20 14:35:00,Dept of Public Works,Hopkins-Tifft,409
85367,2022-01-05 11:05:00,Dept of Public Works,Broadway Fillmore,424
85383,2022-02-03 09:44:00,Dept of Public Works,University Heights,395
85450,2022-01-03 09:33:00,Dept of Public Works,Schiller Park,426
85469,2022-02-01 11:45:00,Dept of Public Works,Lower West Side,397
85480,2022-02-09 09:34:00,Dept of Public Works,Hamlin Park,389
85495,2022-02-10 10:57:00,Dept of Public Works,Broadway Fillmore,388
85630,2022-01-24 10:02:00,Dept of Public Works,Schiller Park,405
85664,2022-02-15 12:08:00,Dept of Public Works,Lovejoy,383
85752,2022-01-10 10:42:00,Dept of Public Works,MLK Park,419
85761,2022-01-05 12:43:00,Dept of Public Works,Hopkins-Tifft,424
85854,2022-01-11 10:14:00,Dept of Public Works,Broadway Fillmore,418
85878,2022-02-07 14:46:00,Office of Strategic Planning,Lovejoy,391
85902,2022-01-10 10:41:00,Dept of Public Works,MLK Park,419
85933,2022-01-19 11:17:00,Dept of Law,UNKNOWN,410
85973,2022-01-31 20:38:00,Dept of Law,UNKNOWN,398
86018,2022-01-19 10:50:00,Dept of Public Works,Central,410
86032,2022-02-15 15:53:00,Dept of Public Works,North Park,383
86200,2022-01-28 16:05:00,Dept of Law,UNKNOWN,401
86239,2022-01-21 09:15:00,Dept of Public Works,Kenfield,408
86266,2022-01-11 23:10:00,Dept of Public Works,Lovejoy,417
86302,2022-01-28 09:30:00,Dept of Public Works,Genesee-Moselle,401
86414,2022-01-07 16:06:00,Office of Strategic Planning,West Hertel,422
86434,2022-01-18 12:10:00,Dept of Public Works,Masten Park,411
86629,2022-02-07 22:07:00,DPIS,Upper West Side,391
86718,2022-02-10 10:31:00,Dept of Public Works,North Park,388
86780,2022-01-24 14:08:00,Dept of Public Works,Black Rock,405
86850,2022-01-14 08:49:00,Dept of Public Works,Kaisertown,415
86916,2022-02-09 09:10:00,Dept of Public Works,North Park,389
87074,2022-01-04 11:19:00,Dept of Public Works,Broadway Fillmore,425
87091,2022-01-11 11:41:00,Dept of Public Works,Fruit Belt,418
87118,2022-01-31 05:49:00,Dept of Public Works,Allentown,398
87160,2022-01-06 16:24:00,Dept of Public Works,Masten Park,423
87186,2022-02-15 10:33:00,Utilities,Fillmore-Leroy,383
87212,2022-01-18 15:26:00,Dept of Public Works,Central,411
87434,2022-01-12 10:05:00,Dept of Public Works,Delavan Grider,417
87468,2022-01-19 13:16:00,Office of Strategic Planning,Broadway Fillmore,410
87516,2022-01-30 22:02:00,Dept of Public Works,Broadway Fillmore,399
87603,2022-02-01 10:36:00,Dept of Law,UNKNOWN,397
87646,2022-01-04 03:11:00,Dept of Law,UNKNOWN,425
87846,2022-01-11 15:37:00,Dept of Public Works,Central,418
87869,2022-02-14 12:32:00,Office of Strategic Planning,Central,384
87894,2022-01-02 10:42:00,Dept of Law,UNKNOWN,427
87905,2022-01-10 12:38:00,Dept of Public Works,North Park,419
88283,2022-01-24 09:20:00,Dept of Public Works,Kenfield,405
88506,2022-01-20 09:17:00,Office of Strategic Planning,Masten Park,409
88590,2022-01-03 10:34:00,Dept of Public Works,Broadway Fillmore,426
88718,2022-02-07 13:53:00,Dept of Public Works,Elmwood Bryant,391
88758,2022-01-05 14:19:00,Dept of Law,UNKNOWN,424
89006,2022-01-10 10:17:00,Dept of Public Works,Allentown,419
89026,2022-01-24 16:07:00,Dept of Public Works,Elmwood Bidwell,405
89141,2022-02-02 08:57:00,Office of Strategic Planning,Kenfield,396
89175,2022-01-28 08:49:00,Dept of Public Works,Masten Park,401
89188,2022-01-25 13:23:00,Office of Strategic Planning,Delavan Grider,404
89255,2022-01-10 09:47:00,Dept of Public Works,Kaisertown,419
89276,2022-02-07 11:53:00,Dept of Law,UNKNOWN,391
89491,2022-02-01 15:20:00,Dept of Public Works,University Heights,397
89579,2022-02-04 14:41:00,Office of Strategic Planning,Masten Park,394
89663,2022-01-25 08:51:00,Dept of Public Works,Riverside,404
89758,2022-01-09 17:17:00,Dept of Public Works,Central Park,420
89774,2022-01-31 20:36:00,Dept of Law,UNKNOWN,398
89817,2022-02-02 16:25:00,Office of Strategic Planning,Masten Park,396
89879,2022-01-05 09:05:00,Dept of Public Works,Allentown,424
89899,2022-01-18 15:26:00,Dept of Public Works,Ellicott,411
89918,2022-01-13 13:09:00,Dept of Public Works,Kensington-Bailey,416
90025,2022-01-03 08:51:00,Dept of Public Works,Seneca-Cazenovia,426
90052,2022-01-28 14:03:00,Dept of Public Works,Grant-Amherst,401
90111,2022-01-05 11:21:00,Dept of Public Works,First Ward,424
90152,2022-01-26 10:18:00,Office of Strategic Planning,West Hertel,403
90316,2022-02-02 10:07:00,Dept of Parking,Hopkins-Tifft,396
90448,2022-01-02 11:55:00,Dept of Public Works,North Park,427
90586,2022-01-04 14:15:00,Dept of Public Works,Broadway Fillmore,425
90643,2022-02-09 11:05:00,Dept of Public Works,Kaisertown,389
90711,2022-02-07 10:18:00,Dept of Public Works,Broadway Fillmore,391
90819,2022-01-03 10:58:00,Dept of Public Works,Elmwood Bidwell,426
90909,2022-02-07 11:53:00,Dept of Public Works,Riverside,391
90915,2022-01-03 14:49:00,Dept of Public Works,Hopkins-Tifft,426
91026,2022-02-08 12:00:00,Dept of Public Works,North Park,390
91040,2022-01-11 09:34:00,Dept of Law,UNKNOWN,418
91045,2022-01-04 16:23:00,Dept of Public Works,Masten Park,425
91124,2022-01-25 16:41:00,Dept of Law,UNKNOWN,404
91233,2022-01-21 14:33:00,Dept of Public Works,Hopkins-Tifft,408
91240,2022-01-05 13:36:00,Dept of Public Works,University Heights,424
91371,2022-01-26 08:40:00,DPIS,Parkside,403
91389,2022-01-17 15:05:00,Dept of Public Works,North Park,412
91464,2022-02-14 09:40:00,Dept of Public Works,South Park,384
91484,2022-01-27 08:43:00,Dept of Public Works,Ellicott,402
91637,2022-02-09 10:37:00,Dept of Parking,Elmwood Bryant,389
91700,2022-01-20 14:13:00,Dept of Public Works,North Park,409
91725,2022-02-13 13:01:00,Dept of Law,UNKNOWN,385
91744,2022-01-11 22:04:00,Dept of Public Works,South Park,418
91953,2022-01-31 16:35:00,Dept of Law,UNKNOWN,398
92015,2022-02-05 12:57:00,Dept of Public Works,Elmwood Bryant,393
92141,2022-01-27 23:19:00,Dept of Law,UNKNOWN,401
92170,2022-02-15 01:00:00,Dept of Law,UNKNOWN,383
92302,2022-02-08 08:59:00,Dept of Public Works,Seneca Babcock,390
92412,2022-02-01 13:51:00,Dept of Public Works,Riverside,397
92607,2022-01-25 13:30:00,Office of Strategic Planning,Fillmore-Leroy,404
92614,2022-02-02 20:56:00,Dept of Public Works,North Park,396
92736,2022-01-05 14:18:00,Dept of Public Works,Ellicott,424
92805,2022-01-04 13:54:00,Dept of Public Works,Seneca-Cazenovia,425
92833,2022-01-25 08:38:00,Office of Strategic Planning,First Ward,404
92881,2022-01-05 09:07:00,Dept of Public Works,Schiller Park,424
92896,2022-01-13 14:24:00,Dept of Public Works,Kaisertown,416
92974,2022-01-04 10:54:00,Dept of Public Works,Central Park,425
93067,2022-01-28 15:01:00,Dept of Public Works,Kaisertown,401
93102,2022-01-10 15:14:00,Dept of Public Works,Upper West Side,419
93125,2022-02-28 14:28:00,Dept of Public Works,Pratt-Willert,370
93196,2022-02-08 09:52:00,Dept of Public Works,Lovejoy,390
93240,2022-01-28 15:34:00,Dept of Law,UNKNOWN,401
93270,2022-02-22 13:07:00,Dept of Public Works,Seneca Babcock,376
93324,2022-03-09 14:07:00,Dept of Public Works,Hopkins-Tifft,361
93386,2022-01-21 15:56:00,Dept of Public Works,Central Park,408
93449,2022-02-11 11:31:00,Dept of Public Works,Parkside,387
93557,2022-01-11 23:17:00,Dept of Public Works,Lovejoy,417
93568,2022-01-04 09:44:00,Dept of Public Works,MLK Park,425
93592,2022-01-26 16:13:00,Dept of Public Works,Central,403
93600,2022-01-20 09:17:00,Office of Strategic Planning,Pratt-Willert,409
93754,2022-03-08 08:39:00,Dept of Public Works,Central,362
93785,2022-03-08 14:00:00,Dept of Public Works,Lower West Side,362
93875,2022-02-17 09:33:00,Dept of Public Works,Lower West Side,381
93889,2022-03-06 07:06:00,Buffalo Police Department,Masten Park,364
93990,2022-02-26 21:16:00,Dept of Law,UNKNOWN,372
94025,2022-02-25 14:13:00,Dept of Public Works,Ellicott,373
94034,2022-03-07 11:54:00,Utilities,Hopkins-Tifft,363
94110,2022-03-07 09:54:00,Dept of Public Works,Delavan Grider,363
94129,2022-02-18 13:39:00,Dept of Public Works,Lovejoy,380
94155,2022-02-28 16:24:00,Dept of Public Works,Broadway Fillmore,370
94160,2022-03-02 09:57:00,Dept of Public Works,South Park,368
94247,2022-01-01 12:30:00,Utilities,Fillmore-Leroy,428
94318,2022-03-11 06:54:00,Dept of Public Works,University Heights,359
94349,2022-02-18 08:46:00,Dept of Public Works,North Park,380
94401,2022-01-30 11:00:00,Utilities,Allentown,399
94445,2022-03-11 10:16:00,Dept of Public Works,Elmwood Bidwell,359
94456,2022-03-01 16:19:00,Dept of Law,UNKNOWN,369
94525,2022-03-03 10:57:00,Dept of Public Works,Hopkins-Tifft,367
94552,2022-03-08 14:54:00,Dept of Public Works,Riverside,362
94572,2022-01-22 11:00:00,Buffalo Police Department,Hopkins-Tifft,407
94574,2022-02-21 11:59:00,Dept of Law,UNKNOWN,377
94614,2022-02-24 17:32:00,Dept of Law,UNKNOWN,374
94617,2022-03-05 18:37:00,Dept of Public Works,Hopkins-Tifft,365
94697,2022-02-18 10:11:00,Dept of Public Works,North Park,380
94707,2022-03-03 11:20:00,Dept of Public Works,Seneca-Cazenovia,367
94715,2022-03-08 09:10:00,Dept of Public Works,Central Park,362
94755,2022-03-09 09:21:00,Dept of Public Works,Central,361
94790,2022-02-17 15:29:00,Office of the Mayor,Kaisertown,381
94879,2022-03-09 12:28:00,Dept of Public Works,University Heights,361
94891,2022-03-11 08:49:00,Dept of Public Works,Central Park,359
94909,2022-03-11 11:09:00,Dept of Public Works,Elmwood Bidwell,359
94929,2022-02-16 15:32:00,Dept of Public Works,Genesee-Moselle,382
94931,2022-03-02 11:48:00,Dept of Public Works,Delavan Grider,368
94980,2022-03-11 13:04:00,Dept of Public Works,Seneca-Cazenovia,359
95029,2022-03-07 12:53:00,Dept of Law,UNKNOWN,363
95050,2022-03-01 13:13:00,Dept of Law,UNKNOWN,369
95057,2022-03-11 15:12:00,Dept of Public Works,Hopkins-Tifft,359
95150,2022-03-07 12:51:00,Dept of Law,UNKNOWN,363
95209,2022-01-07 08:30:00,Dept of Public Works,Central,422
95264,2022-02-21 11:47:00,Dept of Law,UNKNOWN,377
95311,2022-03-10 09:57:00,Dept of Public Works,Upper West Side,360
95320,2022-02-16 15:41:00,Dept of Public Works,Parkside,382
95337,2022-03-01 14:16:00,Dept of Public Works,Elmwood Bryant,369
95342,2022-03-05 10:36:00,Dept of Public Works,Riverside,365
95366,2022-02-21 12:18:00,Dept of Law,UNKNOWN,377
95390,2022-02-25 21:41:00,Dept of Public Works,Broadway Fillmore,373
95402,2022-03-06 00:47:00,Dept of Public Works,Elmwood Bidwell,364
95422,2022-03-02 09:54:00,Dept of Public Works,South Park,368
95426,2022-02-23 18:41:00,Dept of Public Works,Upper West Side,375
95439,2022-03-07 11:52:00,Dept of Public Works,Allentown,363
95488,2022-02-27 18:24:00,Dept of Public Works,Hopkins-Tifft,371
95523,2022-02-22 08:35:00,Dept of Public Works,Ellicott,376
